IA_p,IB_p,IC_p,IA_m,IB_m,IC_m,Rs_A,Rs_B,Rs_C,Ls,state
0.4844,0.7985,0.4783,-0.8242,-0.9593,-0.7131,3.153,1.8974,3.2307,0.0148,2
0.3867,0.4275,0.4392,-0.5899,-0.5491,-0.5178,3.5839,3.6023,3.6388,0.0184,0
0.5234,0.779,0.4392,-0.707,-0.803,-0.5569,3.3436,2.1724,3.411,0.0149,2
0.4062,1.0329,0.5174,-0.6289,-0.9007,-0.4983,3.343,2.1835,3.431,0.0149,2
1.1077,1.1832,0.5773,-0.572,-0.516,-0.8876,0,0,0,0,4
0.5039,0.6032,1.0056,-0.5899,-0.6858,-0.9279,3.063,3.0687,1.8655,0.0137,3
0.8359,0.5837,0.5955,-0.8633,-0.5296,-0.7326,2.3159,3.3536,3.4166,0.0152,1
0.4648,0.9157,0.6931,-0.7266,-0.9397,-0.6154,3.1685,1.8984,3.2215,0.0145,2
0.8359,0.6228,0.4783,-1.0781,-0.5686,-0.4787,2.2305,3.4092,3.469,0.0157,1
0.4844,0.4665,1.0252,-0.5313,-0.6077,-1.0256,3.1128,3.1197,1.9311,0.0131,3
0.3476,0.486,0.8885,-0.6289,-0.3733,-0.8498,3.445,3.4831,2.2727,0.0128,3
0.875,0.6032,0.4978,-1.0195,-0.764,-0.6545,2.0986,3.3092,3.3708,0.0143,1
0.875,0.6814,0.5564,-1,-0.5296,-0.6936,1.8283,3.1844,3.2467,0.0124,1
0.5039,0.154,0.4783,-0.5313,-0.471,-0.5764,3.5942,3.5765,3.6123,0.0186,0
0.7187,0.5837,0.5955,-0.8828,-0.5491,-0.6154,2.2494,3.4503,3.5155,0.0153,1
0.3867,0.447,0.4392,-0.668,-0.5491,-0.5764,3.6245,3.644,3.6955,0.0183,0
0.9336,0.5642,0.576,-0.961,-0.7054,-0.5569,2.0849,3.277,3.348,0.0137,1
0.4062,0.3689,0.4783,-0.6875,-0.4905,-0.5569,3.5676,3.5838,3.6428,0.0184,0
0.7969,0.6618,0.6736,-0.9414,-0.6468,-0.6936,2.258,3.4734,3.5335,0.0154,1
0.5234,0.74,0.4392,-0.7852,-0.7054,-0.674,3.3162,2.2879,3.3448,0.0158,2
0.3867,0.5446,0.3806,-0.5508,-0.471,-0.4592,3.616,3.6148,3.6618,0.018,0
0.4258,0.4275,0.5174,-0.6094,-0.6468,-0.5764,3.578,3.5692,3.6146,0.0186,0
0.4648,0.8181,0.615,-0.8438,-1.0374,-0.6154,3.2237,2.0532,3.2846,0.014,2
0.5039,0.8571,0.5564,-0.6289,-0.9397,-0.5569,3.3463,2.1905,3.4199,0.0128,2
1.1272,1.2223,0.714,-0.6306,-0.809,-0.8485,0,0,0,0,4
0.4453,0.5446,0.6346,-0.5703,-0.6077,-0.9279,3.1727,3.1737,2.0802,0.0136,3
0.4648,0.8376,0.4978,-0.6289,-1.0569,-0.635,3.3028,2.146,3.3722,0.0149,2
0.543,0.5837,0.908,-0.5899,-0.764,-1.1233,3.4674,3.4632,2.2656,0.0145,3
0.289,0.447,0.3806,-0.668,-0.4515,-0.4787,3.5273,3.5524,3.6027,0.0186,0
0.914,0.486,0.6931,-1,-0.6077,-0.5959,2.0952,3.2777,3.3354,0.0131,1
0.289,0.447,0.5564,-0.5899,-0.4319,-0.4592,3.563,3.5815,3.6064,0.0187,0
0.4844,0.8571,0.5369,-0.7656,-0.9007,-0.6545,3.2898,2.1677,3.3763,0.0135,2
0.3867,0.4079,0.283,-0.5703,-0.5296,-0.5178,3.6089,3.6362,3.6773,0.0182,0
0.3867,0.8767,0.5955,-0.5899,-0.9593,-0.6545,3.1778,1.9143,3.2601,0.012,2
1.1468,1.2027,0.8116,-0.5915,-0.6527,-0.8876,0,0,0,0,4
0.7969,0.6032,0.4978,-0.9414,-0.6858,-0.6545,1.9276,3.1998,3.2988,0.0142,1
0.8945,0.6032,0.4002,-0.961,-0.5686,-0.6545,1.8102,3.156,3.2282,0.0135,1
0.6406,0.7595,0.4978,-0.8633,-0.7444,-0.7131,2.3033,3.3421,3.3667,0.0152,1
0.3867,0.9743,0.4978,-0.6289,-1.135,-0.6936,3.104,1.8832,3.1868,0.0119,2
0.543,0.4275,0.3611,-0.5899,-0.5882,-0.4983,3.5677,3.5548,3.6428,0.0184,0
0.4258,0.7595,0.6931,-0.8438,-0.9202,-0.6545,3.2289,2.0481,3.2732,0.0122,2
1.1272,1.1637,0.6554,-0.5915,-0.7699,-0.8485,0,0,0,0,4
0.4844,0.4079,1.0056,-0.5703,-0.5686,-0.8694,3.4796,3.4671,2.2811,0.0154,3
1.1077,1.2223,0.8702,-0.5915,-0.6332,-0.8876,0,0,0,0,4
0.4258,0.8962,0.576,-0.8047,-1.096,-0.6936,3.2728,2.1247,3.32,0.0152,2
0.5234,0.4079,0.9666,-0.5899,-0.4515,-0.967,3.1651,3.1825,2.0668,0.0121,3
0.4453,0.9743,0.615,-0.668,-0.9007,-0.5373,3.2255,2.0714,3.2922,0.0151,2
0.4453,0.8571,0.5369,-0.668,-1.0374,-0.6545,3.2519,2.0803,3.3222,0.0128,2
0.8945,0.447,0.4978,-0.8047,-0.5686,-0.5959,2.0981,3.2724,3.3759,0.0151,1
0.4062,0.6032,0.6346,-0.7656,-0.8225,-0.674,3.2318,2.2369,3.2805,0.0153,2
0.8945,0.6814,0.4783,-1.0391,-0.5882,-0.5764,2.0964,3.2854,3.3357,0.0142,1
0.4062,0.7985,0.615,-0.707,-0.9007,-0.5959,3.2427,2.0643,3.313,0.0143,2
0.8945,0.5446,0.4978,-1.0391,-0.5491,-0.6154,2.0735,3.2977,3.3845,0.0131,1
0.875,0.6032,0.4978,-1.0781,-0.7444,-0.5178,1.9302,3.233,3.2445,0.0139,1
0.8945,0.6618,0.5955,-1.0781,-0.5296,-0.5764,1.9299,3.1989,3.2303,0.0135,1
0.7773,0.5837,0.5564,-0.9024,-0.5686,-0.6545,2.2592,3.4738,3.5456,0.014,1
0.289,0.5837,0.9666,-0.7461,-0.5686,-1.0256,3.1045,3.1036,2.0457,0.0134,3
0.3476,0.8962,0.5369,-0.668,-0.9593,-0.5764,3.309,2.1653,3.3781,0.0155,2
0.4062,0.5056,0.8299,-0.6094,-0.5491,-1.0451,3.1082,3.1303,1.9068,0.0118,3
0.4258,0.9353,0.6541,-0.6485,-0.9788,-0.7522,3.1374,1.8216,3.2111,0.015,2
0.3867,0.3493,0.4002,-0.8828,-0.5296,-0.6154,3.6025,3.5767,3.6158,0.0182,0
0.8359,0.3884,0.6346,-1,-0.6663,-0.6545,1.9366,3.2173,3.269,0.0151,1
0.4453,1.0329,0.6346,-0.6875,-0.9593,-0.5373,3.1618,1.8212,3.2012,0.0117,2
0.3867,0.8962,0.6346,-0.7656,-0.9007,-0.7717,3.1498,2.0943,3.2194,0.0143,2
0.8359,0.5642,0.5369,-0.9414,-0.471,-0.6545,2.0976,3.2821,3.3539,0.0162,1
0.3672,1.0329,0.615,-0.6875,-0.8616,-0.5959,3.1329,1.8949,3.1906,0.0143,2
