num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,nothing1,nothing2,nothing3,nothing4,nothing5,nothing6,nothing7,nothing8,nothing9,nothing10,nothing11,nothing12,nothing13,nothing14,nothing15,nothing16,nothing17,state,target
1,0.4844,0.4079,0.3806,-0.5899,-0.7054,-0.635,3.5359,3.538,3.5707,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
584,0.4062,0.5446,0.4588,-0.668,-0.4319,-0.4983,3.59,3.548,3.597,0.0179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
585,0.4062,0.5446,0.4588,-0.668,-0.5882,-0.5764,3.5368,3.5398,3.6178,0.0179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
1168,0.5039,0.5251,0.4392,-0.707,-0.5882,-0.5764,3.5368,3.5398,3.6178,0.0179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
1751,0.289,0.447,0.3806,-0.668,-0.4515,-0.4787,3.5273,3.5524,3.6027,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
1752,0.289,0.447,0.3806,-0.668,-0.4515,-0.4983,3.5543,3.562,3.6023,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
2335,0.3281,0.5251,0.4392,-0.6289,-0.5296,-0.4983,3.5543,3.562,3.6023,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
2918,0.4844,0.447,0.4197,-0.5899,-0.51,-0.4787,3.5826,3.5498,3.6241,0.0179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
2919,0.4844,0.447,0.4197,-0.5899,-0.51,-0.4787,3.563,3.5815,3.6064,0.0187,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
3502,0.289,0.447,0.5564,-0.5899,-0.4319,-0.4592,3.563,3.5815,3.6064,0.0187,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
4085,0.5039,0.4665,0.4783,-0.6485,-0.471,-0.5178,3.5615,3.5624,3.633,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
4086,0.5039,0.4665,0.4783,-0.6485,-0.471,-0.5178,3.5615,3.5719,3.6165,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
4669,0.3867,0.447,0.4783,-0.6485,-0.5686,-0.635,3.5556,3.5719,3.6165,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
5252,0.4062,0.3689,0.4783,-0.6875,-0.4905,-0.5569,3.5676,3.5838,3.6436,0.0189,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
5253,0.4062,0.3689,0.4783,-0.6875,-0.4905,-0.5569,3.5676,3.5838,3.6428,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
5836,0.543,0.4275,0.3611,-0.5899,-0.5882,-0.4983,3.5677,3.5548,3.6428,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
6419,0.3672,0.447,0.5369,-0.5899,-0.7249,-0.4787,3.5838,3.5753,3.645,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
6420,0.3672,0.447,0.5369,-0.5899,-0.7249,-0.4787,3.5838,3.5753,3.645,0.0191,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
7003,0.4648,0.4079,0.4783,-0.668,-0.5882,-0.4983,3.588,3.5746,3.6278,0.0191,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
7587,0.4258,0.4665,0.5174,-0.5703,-0.51,-0.5178,3.5927,3.5759,3.6533,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
