num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
1,-0.2244,-0.2283,0.0287,0.0281,-0.012,-0.0087,-0.0127,-0.0138,-0.0144,-0.0074,-0.0014,0.0003,-0.0014,-0.0004,-0.0007,-0.0008,0.0313,0.0301,0.0327,0.0303,0.0317,0.0293,0.0002,-0.001,0.0001,-0.0003,0,0.0001,0
2,-0.2757,-0.2783,0.0353,0.0348,-0.0167,-0.0125,-0.0145,-0.0143,-0.0178,-0.0139,-0.0014,-0.0006,-0.0015,-0.001,-0.0007,0.0013,0.0371,0.0398,0.0373,0.0395,0.0378,0.0378,0.0001,-0.001,0.0007,0,0.0001,0,0
3,-0.319,-0.3212,0.0375,0.0392,-0.0184,-0.0158,-0.0181,-0.0221,-0.0194,-0.0154,-0.0009,-0.0001,-0.0003,0,-0.001,0.0005,0.0425,0.0392,0.0434,0.0422,0.0412,0.0401,0.0006,-0.0011,-0.0002,-0.0001,0,0.0001,0
4,-0.3304,-0.3305,0.0419,0.0391,-0.0182,-0.0176,-0.021,-0.0195,-0.0181,-0.0163,-0.0017,0.0009,-0.0013,-0.0007,-0.0008,0.0011,0.0433,0.0411,0.0453,0.0397,0.0405,0.0401,-0.0005,-0.0007,0.0004,0.0004,-0.0007,-0.0005,0
5,-0.3454,-0.3498,0.0404,0.039,-0.0188,-0.0169,-0.0222,-0.0215,-0.0223,-0.0195,-0.0012,0.0003,-0.0008,-0.0004,0.0001,0.001,0.0437,0.0394,0.0465,0.0418,0.0465,0.0425,-0.0008,-0.0008,0.0002,-0.0009,-0.0007,0.0001,0
6,-0.3984,-0.4016,0.0419,0.0385,-0.0227,-0.0226,-0.0288,-0.0236,-0.0237,-0.0184,-0.0014,0.0002,-0.0008,-0.0011,-0.0002,-0.001,0.0451,0.0448,0.0461,0.0436,0.0431,0.0443,-0.001,-0.0014,0.0003,-0.0011,0,0,0
7,-0.4449,-0.4468,0.039,0.0406,-0.0264,-0.0243,-0.0266,-0.027,-0.0285,-0.0252,-0.0008,-0.0002,0.0014,0.0003,-0.0003,0,0.0486,0.0468,0.051,0.0457,0.0493,0.0492,-0.0007,-0.0011,0.0004,-0.0004,0,-0.0001,0
8,-0.4866,-0.4884,0.039,0.0399,-0.0317,-0.0295,-0.0296,-0.0313,-0.032,-0.0222,-0.0007,0.0004,0.0008,0.0003,-0.0008,0.0011,0.0516,0.0495,0.0534,0.0498,0.0521,0.0492,-0.0002,-0.001,0.0002,-0.0004,0.0003,0,0
9,-0.5244,-0.5273,0.0418,0.0399,-0.0327,-0.0323,-0.0317,-0.0253,-0.0331,-0.0296,0,0.0008,0.0001,0.0005,-0.0001,0.0015,0.053,0.0492,0.0529,0.0486,0.053,0.0519,0.0005,-0.0003,0.0004,-0.0003,-0.0016,-0.0004,0
10,-0.5595,-0.5628,0.0426,0.0409,-0.0343,-0.0341,-0.0325,-0.0357,-0.0375,-0.0344,0.0002,0.0002,-0.0008,0.0005,-0.0008,0.0002,0.0524,0.0494,0.0551,0.0546,0.0561,0.0529,0.0011,-0.0005,-0.0002,-0.0006,-0.0014,0.0002,0
11,-0.5934,-0.5954,0.0419,0.0399,-0.0365,-0.0372,-0.0407,-0.0373,-0.0394,-0.0337,-0.0001,0.0002,-0.001,0.0004,-0.0002,0.0007,0.055,0.0539,0.0565,0.056,0.0564,0.0541,0.0002,-0.0014,0.0006,-0.0004,-0.0008,0.0001,0
12,-0.626,-0.6267,0.0427,0.0384,-0.0415,-0.0386,-0.0392,-0.039,-0.0438,-0.0401,-0.0007,0.0003,-0.0004,-0.0003,0.0002,0.0001,0.0594,0.0548,0.0574,0.0565,0.0547,0.0551,0,-0.0009,0.0007,-0.0011,-0.0015,0.0001,0
13,-0.6562,-0.6575,0.0426,0.0406,-0.0459,-0.045,-0.0442,-0.0473,-0.0456,-0.0415,-0.0009,0.0013,-0.0005,-0.0008,-0.0007,0.0012,0.0567,0.0561,0.0623,0.0592,0.0542,0.0561,0.0004,-0.0013,0.0011,-0.0005,-0.001,0,0
14,-0.684,-0.6868,0.0411,0.0407,-0.0468,-0.0463,-0.0424,-0.0444,-0.0484,-0.0426,-0.0006,0.0002,-0.0013,0.0008,-0.0012,0.0005,0.0633,0.059,0.0599,0.0583,0.0577,0.0596,0.0009,-0.0007,0.0013,0.0006,0.0005,-0.0002,0
15,-0.7114,-0.7143,0.0418,0.0406,-0.0474,-0.0485,-0.0508,-0.0486,-0.0495,-0.0483,-0.0003,-0.0001,-0.0004,-0.0001,-0.0002,0,0.0614,0.0615,0.0632,0.061,0.0624,0.0576,0.0009,-0.0003,0.0008,0,-0.0002,0.0003,0
16,-0.7389,-0.7399,0.0419,0.0407,-0.0505,-0.0508,-0.0538,-0.0514,-0.0534,-0.0505,0.0006,-0.0001,-0.0002,-0.0006,-0.0006,0.0018,0.0647,0.0625,0.0625,0.0634,0.0635,0.0612,0.0015,-0.0012,0.0006,-0.0005,-0.0002,0.0001,0
17,-0.7652,-0.7654,0.0434,0.0392,-0.0547,-0.0533,-0.0529,-0.0551,-0.0572,-0.051,0.0003,-0.0007,-0.0001,-0.0001,0.0001,0.0009,0.0665,0.0626,0.0669,0.0642,0.0613,0.0623,0.0002,-0.0005,0.0004,-0.0009,-0.002,0.0003,0
18,-0.79,-0.7912,0.0411,0.0406,-0.0578,-0.0566,-0.0579,-0.0552,-0.0595,-0.0559,-0.0008,0.0001,0,0.001,-0.0009,0.0016,0.0679,0.0654,0.0656,0.0658,0.0636,0.0626,0.0006,-0.0002,0.0005,0,-0.0007,0.0001,0
19,-0.8131,-0.816,0.0419,0.0384,-0.0618,-0.0612,-0.0571,-0.0589,-0.0611,-0.0597,0.0006,-0.0002,-0.0006,-0.0005,-0.0007,0.0011,0.0687,0.066,0.0681,0.0654,0.0652,0.0682,0.0011,-0.0011,0.0005,0.0005,-0.0002,-0.0009,0
20,-0.8317,-0.8327,0.0403,0.0407,-0.055,-0.0605,-0.0622,-0.06,-0.0632,-0.0592,-0.0007,-0.0004,0.0006,0.0006,-0.0001,0.0009,0.0665,0.0627,0.0685,0.0678,0.065,0.0638,0.0012,0.0006,0.0001,-0.0008,0.0005,-0.0006,0
21,-0.8307,-0.8299,0.0412,0.0392,-0.0608,-0.0593,-0.0596,-0.0589,-0.0617,-0.0574,-0.0005,0.0005,-0.0016,-0.0001,-0.0007,0.0018,0.0693,0.067,0.0687,0.068,0.0657,0.0679,0.0002,0.0001,-0.0004,-0.0002,-0.0006,-0.0001,0
22,-0.8312,-0.8298,0.0433,0.0397,-0.0595,-0.0589,-0.0589,-0.0611,-0.0629,-0.059,0.0005,0.0001,0.0002,0.0002,0.0003,0.0006,0.0705,0.0657,0.0686,0.0678,0.0672,0.0657,0.0003,-0.0017,0.0008,0.0008,-0.0018,-0.0001,0
23,-0.831,-0.8307,0.0418,0.0414,-0.0612,-0.0584,-0.0626,-0.0611,-0.0629,-0.0592,-0.0007,-0.0001,-0.0006,0.0002,-0.0007,0.0002,0.0682,0.0647,0.0669,0.0676,0.0607,0.0639,0.0002,-0.0024,0.0005,-0.0002,-0.0002,0.0004,0
24,-0.7915,-0.7888,0.0382,0.0369,-0.0571,-0.0568,-0.0544,-0.0507,-0.0566,-0.0502,-0.0002,0.0005,0.0009,-0.0005,-0.0007,0.0012,0.0624,0.0553,0.0625,0.0569,0.06,0.0596,-0.0006,-0.0004,0.0002,-0.0004,-0.0019,-0.0009,0
25,-0.7304,-0.7277,0.0338,0.0326,-0.0468,-0.0465,-0.0457,-0.0472,-0.0456,-0.0423,-0.0017,0.0002,0.0003,0.0003,0,-0.0001,0.0508,0.0531,0.054,0.0523,0.0511,0.0498,0.0017,-0.0012,0.0002,0.0006,-0.0002,0.0001,0
26,-0.6668,-0.6621,0.0295,0.0304,-0.0368,-0.0385,-0.0405,-0.0398,-0.0397,-0.0355,0.0002,0.0002,-0.0012,-0.0002,-0.0005,0,0.048,0.0446,0.0482,0.0445,0.0429,0.0416,0.0011,-0.0008,-0.0001,0.001,-0.0005,0.0002,0
27,-0.5962,-0.5902,0.0257,0.023,-0.0335,-0.0302,-0.0286,-0.0312,-0.0315,-0.0279,-0.0003,-0.0003,0.0002,-0.0008,0.0003,0.0009,0.0394,0.036,0.0399,0.0359,0.0423,0.0334,0.0003,0.0003,0.0008,-0.0006,-0.0017,0,0
28,-0.5154,-0.5093,0.0155,0.0179,-0.0246,-0.022,-0.0253,-0.0268,-0.0245,-0.0204,-0.0005,0,0.0006,-0.001,-0.0004,0.0002,0.0284,0.0308,0.0284,0.0273,0.0216,0.0244,0.0005,0.0002,0.0002,0.0004,-0.0003,-0.0002,0
29,-0.4187,-0.4123,0.0118,0.0111,-0.0145,-0.0156,-0.016,-0.0161,-0.0165,-0.0136,0.0002,0,-0.0003,-0.0013,-0.0006,0.0014,0.0215,0.0204,0.0194,0.0186,0.0184,0.0182,-0.0009,-0.0001,-0.0001,0.0001,-0.0001,0.0002,0
30,-0.2922,-0.283,0.0023,0.0018,-0.0089,-0.0077,-0.0091,-0.0082,-0.0063,-0.0054,-0.0008,0.0004,-0.0007,-0.0003,0.0005,-0.0006,0.0031,0.004,0.0058,0.0027,-0.0015,0.0023,0.0005,0.0006,-0.0006,-0.0001,-0.0006,-0.0002,0
31,0.0748,0.1067,-0.0255,-0.0251,-0.0006,0.0021,-0.0028,0,-0.0043,-0.0016,-0.0007,-0.0001,-0.0007,-0.0009,-0.0019,0.0006,-0.0311,-0.0317,-0.0344,-0.0332,-0.0358,-0.0323,0.0005,-0.0003,-0.0001,0.0007,-0.0003,0.0005,0
32,0.3096,0.3178,-0.0408,-0.0384,-0.0051,-0.0044,-0.0047,-0.0026,-0.0067,-0.0047,0.0005,0.0015,-0.0004,0.0002,-0.0005,0.0015,-0.0422,-0.0406,-0.0427,-0.0375,-0.0419,-0.0381,0,-0.0004,-0.0001,0.0012,-0.0002,0.0007,0
33,0.3305,0.3302,-0.0408,-0.042,-0.0037,-0.004,-0.0051,-0.0018,-0.0052,-0.0033,-0.0007,0.0006,-0.0001,-0.0004,-0.0001,0.001,-0.0399,-0.0388,-0.0424,-0.0421,-0.0421,-0.0386,-0.0003,0,-0.0003,-0.0004,-0.0001,-0.0001,0
34,0.3548,0.3588,-0.041,-0.0383,-0.0051,-0.0041,-0.0101,-0.0015,-0.005,-0.0069,0.0008,0.0014,0.0001,0.0001,-0.001,0.0005,-0.0428,-0.0426,-0.0434,-0.0412,-0.0454,-0.042,-0.0002,0.0004,-0.0002,-0.0005,0.0004,0.0001,0
35,0.4057,0.4092,-0.0415,-0.0398,-0.006,-0.0058,-0.0091,-0.0075,-0.0088,-0.0058,0.0007,0.0008,-0.0001,0.0011,-0.0001,-0.0009,-0.0445,-0.0455,-0.0486,-0.0421,-0.0454,-0.0448,-0.0004,-0.0002,-0.0016,0.0008,-0.0002,0.0001,0
36,0.4513,0.4534,-0.0417,-0.0421,-0.0059,-0.0079,-0.0083,-0.0091,-0.0114,-0.0076,0.0004,0.0023,-0.0004,0.0007,0.0001,0.001,-0.045,-0.0475,-0.0484,-0.0466,-0.048,-0.0465,0.0005,-0.0002,0.0009,-0.0007,-0.0007,0.0008,0
37,0.4927,0.4944,-0.0399,-0.0447,-0.0115,-0.0099,-0.008,-0.0079,-0.0149,-0.0107,0.0006,0.0006,-0.0008,0.0002,-0.0001,0.0019,-0.0496,-0.0502,-0.0496,-0.0505,-0.0497,-0.0492,0.0002,0,0.0001,0.0003,-0.0001,-0.0004,0
